users,order,SMM
401,1,0.21875
404,0,0.3125
405,1,0.625
407,1,0.125
408,0,0.5
409,1,0.1875
410,0,0.25
411,1,0.34375
412,0,0.40625
413,1,0.21875
415,0,0.4375
417,1,0.4375
419,1,0.40625
420,0,0.28125
421,1,0.40625
424,0,0.46875
425,1,0.53125
426,1,0.5
427,0,0.40625
429,1,0.5
430,0,0.5
431,1,0.375
432,0,0.46875
433,0,0.625
435,1,0.375
436,0,0.5
437,1,0.40625
440,0,0.34375
441,1,0.09375
444,0,0.46875
447,1,0.40625
450,0,0.5625
451,0,0.40625
452,0,0.15625
453,1,0.40625
456,0,0.34375
457,1,0.28125
459,1,0.53125
460,0,0.40625
463,1,0.59375
464,0,0.4375
465,1,0.4375
466,1,0.375
467,1,0.25
468,0,0.15625
469,1,0.40625
470,1,0.25
471,1,0.1875
472,0,0.3125
474,0,0.21875
475,1,0
477,1,0.125
478,0,0.3125
479,1,0.28125
480,0,0.28125
481,0,0.15625
485,1,0.21875
486,0,0.5625
487,1,0.25
489,1,0.625
490,0,0.28125
492,0,0.15625
494,0,0.125
496,0,0.4375
497,1,0.3125
498,0,0.53125
499,1,0.1875
500,0,0.21875
501,0,0
502,0,0.21875
503,1,0.1875
505,1,0.21875
506,0,0.5
507,1,0.625
508,1,0.375
509,1,0.59375
513,1,0.6875
514,0,0.25
516,0,0.59375
517,1,0.46875
518,0,0.5
519,1,0.375
520,0,0.5
521,1,0.09375
522,0,0.375
523,1,0.28125
524,1,0.375
525,1,0.3125
527,0,0.5
531,1,0.0625
532,0,0.59375
533,1,0.40625
535,1,0.34375
537,1,0.40625
539,1,0.125
541,1,0.25
542,0,0.21875
545,1,0.5625
550,0,0.40625
551,1,0.40625
